剧本ID,剧名,角色名,行当,性别,服饰备注
01001001,空城计,诸葛亮,老生,male,
01001001,空城计,司马懿,净,male,
01001001,空城计,司马师,净,male,
01001001,空城计,司马昭,小生,male,
01001001,空城计,赵云,老生,male,
01001001,空城计,老军甲,丑,male,
01001001,空城计,老军乙,丑,male,
01001002,洪羊洞,杨延昭,老生,male,
01001002,洪羊洞,孟良,净,male,
01001002,洪羊洞,焦赞,净,male,
01001002,洪羊洞,程宣,丑,male,
01001002,洪羊洞,赵德芳,老生,male,
01001002,洪羊洞,杨继业,外,unknown,
01001002,洪羊洞,杨宗保,小生,male,
01001002,洪羊洞,佘太君,老旦,female,
01001002,洪羊洞,柴夫人,正旦,unknown,
01001003,三娘教子,王春娥,旦,female,
01001003,三娘教子,薛保,外,unknown,
01001003,三娘教子,薛倚哥,小生,male,
01001004,乌盆计【后本】,刘世昌,老生,male,
01001004,乌盆计【后本】,张别古,丑,male,
01001004,乌盆计【后本】,赵大,丑,male,
01001004,乌盆计【后本】,包拯,净,male,
01001005,打鼓骂曹,祢衡,老生,male,
01001005,打鼓骂曹,曹操,净,male,
01001006,捉放曹,陈宫,老生,male,
01001006,捉放曹,曹操,净,male,
01001006,捉放曹,吕伯奢,末,unknown,
01001006,捉放曹,班头甲,丑,male,
01001006,捉放曹,班头乙,丑,male,
01001006,捉放曹,店家,丑,male,
01001007,桑园寄子,邓伯道,老生,male,
01001007,桑园寄子,金氏,旦,female,
01001008,取成都,刘璋,老生,male,
01001008,取成都,刘玉,小生,male,
01001008,取成都,王累,老丑,male,
01001008,取成都,刘备,老生,male,
01001008,取成都,诸葛亮,老生,male,
01001009,硃砂痣,韩廷凤,外,unknown,
01001009,硃砂痣,吴惠泉,老生,male,
01001009,硃砂痣,江氏,旦,female,
01001009,硃砂痣,金氏,老旦,female,
01001009,硃砂痣,媒婆,丑旦,female,
01001009,硃砂痣,韩遇运,小生,male,
01001010,黄金台,田单,老生,male,
